epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,1223.98,0.78895,0.67973,0.00968,0.89157,0.79864,0.84855,0.62646,1.26676,1.66509,0.018,0.000511413,0.000511413,0.000511413
169,1230.79,0.79791,0.71467,0.0097,0.92634,0.79594,0.84285,0.62239,1.27499,1.62614,0.0181,0.000500705,0.000500705,0.000500705
170,1238.93,0.76836,0.66146,0.00909,0.92823,0.79852,0.85261,0.62849,1.25233,1.67156,0.01733,0.000490077,0.000490077,0.000490077
171,1245.75,0.79302,0.65151,0.00926,0.90458,0.81867,0.85247,0.62273,1.2789,1.57788,0.01755,0.000479531,0.000479531,0.000479531
172,1252.84,0.79028,0.64841,0.0095,0.92794,0.78857,0.85228,0.63355,1.25422,1.65857,0.01732,0.00046907,0.00046907,0.00046907
173,1260.73,0.78501,0.71279,0.00959,0.90091,0.79762,0.84619,0.6284,1.25743,1.69739,0.01736,0.000458693,0.000458693,0.000458693
174,1268.99,0.76627,0.65496,0.00924,0.93602,0.78542,0.84595,0.62816,1.27983,1.68274,0.01777,0.000448404,0.000448404,0.000448404
175,1275.77,0.78335,0.68671,0.00922,0.92179,0.80436,0.85924,0.62945,1.27999,1.69222,0.01816,0.000438203,0.000438203,0.000438203
176,1282.59,0.77641,0.67578,0.00938,0.94003,0.78493,0.85092,0.62934,1.27454,1.68024,0.01785,0.000428093,0.000428093,0.000428093
177,1289.36,0.75419,0.62429,0.00943,0.92751,0.77687,0.84681,0.62214,1.27755,1.64102,0.01745,0.000418074,0.000418074,0.000418074
178,1296.15,0.78062,0.70668,0.00945,0.8813,0.81261,0.85152,0.63212,1.26462,1.68004,0.01788,0.000408149,0.000408149,0.000408149
179,1302.89,0.75463,0.61621,0.00889,0.89495,0.79792,0.845,0.62311,1.27164,1.65669,0.01763,0.000398319,0.000398319,0.000398319
180,1309.61,0.76348,0.66015,0.00881,0.90115,0.81109,0.84205,0.62071,1.28571,1.64473,0.01792,0.000388586,0.000388586,0.000388586
